Armen greets Anahit: Hi, Anahit!
Armen greets Hayk: Hi, Hayk!
Armen greets Narine: Hi, Narine!
Armen greets Sanasar: Hi, Sanasar!
Anahit greets Armen: Hi, Armen!
Anahit greets Hayk: Hi, Hayk!
Anahit greets Narine: Hi, Narine!
Anahit greets Sanasar: Hi, Sanasar!
Hayk greets Armen: Hello, Armen
Hayk greets Anahit: Hello, Anahit
Hayk greets Narine: Hello, Narine
Hayk greets Sanasar: Hello, Sanasar
Narine greets Armen: Hello, Armen
Narine greets Anahit: Hello, Anahit
Narine greets Hayk: Hello, Hayk
Narine greets Sanasar: Hello, Sanasar
Sanasar greets Armen: Hello, Armen
Sanasar greets Anahit: Hello, Anahit
Sanasar greets Hayk: Hello, Hayk
Sanasar greets Narine: Hello, Narine
